product_id,product_name,product_description,category_id,category_name
50,Bed PACK M,"This pack includes a headboard, a wind chest made up of synthetic leather having a length of 190 cm and a width of 140 cm and an orthopedic mattress with dimensions (19X14X18) cm.",19,Bed
51,SAMSUNG GALAXY S21 ULTRA,"Condition:	Brand New
Processor:	Exynos 2100
Manufacturer Warranty:12 months 	Screen Size:	6.8 in
Network:	Unlocked	Manufacturer Color:	Phantom Black, Phantom Silver
Model:	Samsung Galaxy S21 Ultra	Color:	Black
Connectivity:	2G, 3G, 4G, 4G+, 5G, Bluetooth, GPS, LTE	Memory Card Type:	NO
Operating System:	Android 11, One UI 3.1	MPN:	SM-G998B/DS
Features:	Dynamic AMOLED 2X, 120Hz, HDR10+, 1500 nits, IP68 dust/water resistant (up to 1.5m for 30 mins), Corning Gorilla Glass Victus, 8K@24fps, 4K@30/60fps Recording, 5000 mAh, Accelerometer	Lock Status:	Factory Unlocked
Storage Capacity:	256 GB	Model Number:	SM-G998
Contract:	Without Contract	SIM Card Slot: single SIM
Camera Resolution:	108.0 MP , 40MP	Brand:	Samsung
RAM:	12 GB",7,Mobile Phones
55,iphone 6s,"state: Fairly Used
Camera Resolution:	12.0MP	RAM:	2GB
Model:	Apple iPhone 6S	Lock Status:	Factory Unlocked
Operating System:	iOS	MPN:	Does not apply
Contract:	Without Contract	Unit Type:	Unit
Custom Bundle:	No	SIM Card Slot:	Single SIM
Unit Quantity:	1	Brand:	Apple
Connectivity:	3G, 4G, Bluetooth, GPRS, GPS, Lightning, LTE, Wi-Fi	Memory Card Type:	N/A
Features:	Accelerometer, Bluetooth Enabled, Camera, Colour Screen, Digital Compass, Email Access, Fast Charging, Fingerprint Sensor, FM Radio, Front Camera, GPRS, GPS, Internet Connectivity, Nano SIM, NFC Connectivity, Proximity Sensor, Rear Camera, Touch Screen, Video Calling, Video Camera, Voice-Activated Dialing, Wi-Fi Capable	Processor:	Dual Core
Model Number:	A1688 (CDMA + GSM)	Screen Size:	4.7",7,Mobile Phones
59,iPhone XR 64GB,"Brand :Apple

state: Fairly Used

Model: Apple iPhone XR

Product Key Features

Storage Capacity :64 GB

Features Neural Engine, Proximity Sensor, Truedepth Camera, Barometer, Accelerometer, Face Idaho, Assistivetouch, Fast Charge, Smart Hdr, Wireless Charging, Three‑Axis Gyro, Ambient Light Sensor
ColorBlack
Model NumberA1984 (CDMA + GSM)
NetworkAT&T
Screen Size6.1 in
ConnectivityLightning, Bluetooth, 4G, NFC, Wi-Fi
ProcessorHexa Core
Operating SystemiOS
Manufacturer ColorBlack
Camera Resolution12.0 MP
Additional Product Features
Family LineApple iPhone
Network TechnologyCDMA / Evdo REV Ritter. a, GSM / EDGE / UMTS / HSPA+ / DC-HSDPA / Fdd-LTE / TD-LTE
Cellular BandWcdma (Umts) / Gsm 850/900/1800/1900 / Cdma2000 1x1900/800; Cdma2000 1X / Gsm / Wcdma (Umts)
Memory Card TypeNot Applicable",7,Mobile Phones
63,iPhone XR 128GB,"Brand: Apple

state: Fairly Used

Model:    Apple iPhone XR

Product Key Features

Storage Capacity :128GB

FeaturesNeural Engine, Proximity Sensor, Truedepth Camera, Barometer, Accelerometer, Face Idaho, Assistivetouch, Fast Charge, Smart Hdr, Wireless Charging, Three‑Axis Gyro, Ambient Light Sensor

Color :  Black/white/red/blue/yellow

Model NumberA1984 (CDMA + GSM)
NetworkAT&T
Screen Size6.1 in
ConnectivityLightning, Bluetooth, 4G, NFC, Wi-Fi
ProcessorHexa Core
Operating SystemiOS
Manufacturer ColorBlack
Camera Resolution12.0 MP
Additional Product Features
Family LineApple iPhone
Network TechnologyCDMA / Evdo REV Ritter. a, GSM / EDGE / UMTS / HSPA+ / DC-HSDPA / Fdd-LTE / TD-LTE
Cellular BandWcdma (Umts) / Gsm 850/900/1800/1900 / Cdma2000 1x1900/800; Cdma2000 1X / Gsm / Wcdma (Umts)
Memory Card TypeNot Applicable",7,Mobile Phones
64,iPhone XR 128GB,"Brand: Apple

state: Fairly Used

Model:    Apple iPhone XR

Product Key Features

Storage Capacity :128GB

FeaturesNeural Engine, Proximity Sensor, Truedepth Camera, Barometer, Accelerometer, Face Idaho, Assistivetouch, Fast Charge, Smart Hdr, Wireless Charging, Three‑Axis Gyro, Ambient Light Sensor

Color :  Black/white/red/blue/yellow

Model NumberA1984 (CDMA + GSM)
NetworkAT&T
Screen Size6.1 in
ConnectivityLightning, Bluetooth, 4G, NFC, Wi-Fi
ProcessorHexa Core
Operating SystemiOS
Manufacturer ColorBlack
Camera Resolution12.0 MP
Additional Product Features
Family LineApple iPhone
Network TechnologyCDMA / Evdo REV Ritter. a, GSM / EDGE / UMTS / HSPA+ / DC-HSDPA / Fdd-LTE / TD-LTE
Cellular BandWcdma (Umts) / Gsm 850/900/1800/1900 / Cdma2000 1x1900/800; Cdma2000 1X / Gsm / Wcdma (Umts)
Memory Card TypeNot Applicable",7,Mobile Phones
65,iPhone XS Max,"Brand Apple

state: Fairly Used

Model:Apple iPhone XS Max

Network :Unlocked

Operating System :iOS

Storage Capacity  : 64 GB

ConnectivityBluetooth, 4G, Wi-Fi, Lightning, NFC
ProcessorHexa Core
Manufacturer Colour : SpaceGrey/ Gold/Silver


FeaturesAssistivetouch, Proximity Sensor, Face Id, Wireless Charging, Neural Engine, Truedepth Camera, Accelerometer, Smart Hdr, 

Ambient Light Sensor, Barometer, Super Retina Display, Dual Rear Cameras, Fast Charge, Three‑Axis Gyro

Camera Resolution12.0 MP

Screen Size6.5 in

RAM4 GB

Model NumberA2101 (Gsm Only)

Memory Card TypeBuilt-In Memory",7,Mobile Phones
66,iPhone XS Max,"Brand Apple

state: Fairly Used

Model:Apple iPhone XS Max

Network :Unlocked

Operating System :iOS

Storage Capacity  : 64 GB

ConnectivityBluetooth, 4G, Wi-Fi, Lightning, NFC
ProcessorHexa Core
Manufacturer Colour : SpaceGrey/ Gold/Silver


FeaturesAssistivetouch, Proximity Sensor, Face Id, Wireless Charging, Neural Engine, Truedepth Camera, Accelerometer, Smart Hdr, 

Ambient Light Sensor, Barometer, Super Retina Display, Dual Rear Cameras, Fast Charge, Three‑Axis Gyro

Camera Resolution12.0 MP

Screen Size6.5 in

RAM4 GB

Model NumberA2101 (Gsm Only)

Memory Card TypeBuilt-In Memory",7,Mobile Phones
67,iPhone XS Max 256GB,"Brand Apple

state: Fairly Used

Model:Apple iPhone XS Max

Network :Unlocked

Operating System :iOS

Storage Capacity  : 256GB

ConnectivityBluetooth, 4G, Wi-Fi, Lightning, NFC
ProcessorHexa Core
Manufacturer Colour : SpaceGrey/ Gold/Silver


FeaturesAssistivetouch, Proximity Sensor, Face Id, Wireless Charging, Neural Engine, Truedepth Camera, Accelerometer, Smart Hdr, 

Ambient Light Sensor, Barometer, Super Retina Display, Dual Rear Cameras, Fast Charge, Three‑Axis Gyro

Camera Resolution12.0 MP

Screen Size6.5 in

RAM4 GB

Model NumberA2101 (Gsm Only)

Memory Card TypeBuilt-In Memory",7,Mobile Phones
68,iPhone XS Max 512GB,"Brand Apple 

state: Fairly Used

 Model:Apple iPhone XS Max 

Network :Unlocked

 Operating System :iOS 

Storage Capacity : 512GB

 ConnectivityBluetooth, 4G, Wi-Fi, Lightning, NFC ProcessorHexa Core 

Manufacturer Colour : SpaceGrey/ Gold/Silver 

FeaturesAssistivetouch, Proximity Sensor, Face Id, Wireless Charging, Neural Engine, Truedepth 
Camera, Accelerometer, Smart Hdr, Ambient Light Sensor, Barometer, Super Retina Display, Dual Rear Cameras, Fast Charge, Three‑Axis Gyro 

Camera Resolution12.0 MP Screen Size6.5 in RAM4 GB Model NumberA2101 (Gsm Only) Memory Card TypeBuilt-In Memory",7,Mobile Phones
69,iPhone 11 64GB,"Brand :Apple

state: Fairly used

ModelApple iPhone 11

Product Key Features

NetworkUnlocked

Operating SystemiOS

Storage Capacity:64 GB

Manufacturer Color:(PRODUCT)RED
ColorRed/purple/black/white/blue

Model NumberA2111 (CDMA + GSM)
ConnectivityBluetooth, 4G, Wi-Fi, Lightning, NFC
ProcessorHexa Core
StyleBar
FeaturesLiquid Retina HD Display, 

Water-Resistant, Facial Recognition, 4K Video Recording, Wide-Angle Camera, Fast Wireless Charging, Dust-Resistant, Ultra Wide-Angle Camera, Dual Rear Cameras, eSIM, Fast Charging

Camera Resolution12.0 MP
Screen Size6.1 in",7,Mobile Phones
70,iPhone 11 256GB,"Brand :Apple

state: Fairly used

ModelApple iPhone 11

Product Key Features

NetworkUnlocked

Operating SystemiOS

Storage Capacity: 256 GB

Manufacturer Color:(PRODUCT)RED
ColorRed/purple/black/white/blue

Model NumberA2111 (CDMA + GSM)
ConnectivityBluetooth, 4G, Wi-Fi, Lightning, NFC
ProcessorHexa Core
StyleBar
FeaturesLiquid Retina HD Display, 

Water-Resistant, Facial Recognition, 4K Video Recording, Wide-Angle Camera, Fast Wireless Charging, Dust-Resistant, Ultra Wide-Angle Camera, Dual Rear Cameras, eSIM, Fast Charging

Camera Resolution12.0 MP
Screen Size6.1 in",7,Mobile Phones
72,iPhone 11 Pro Max 64GB,"Brand:	Apple	

Model:	iPhone 11 Pro Max

state: Fairly Used

Storage Capacity:	64GB	

Connectivity:	2G, 3G, 4G, 4G+, Bluetooth, Dual Band, GPS, Hotspot, NFC, WiFi	

Camera Resolution:	12MP

Screen Size:	6.5""

Features:	3G Data Capable, 4G Data Capable, 4K Video Recording, Accelerometer, Ambient Light Sensor, Bluetooth Enabled, Facial Recognition, Fast Charging, GPRS, MMS (Multimedia Messaging), Nano SIM, NFC Connectivity, OLED Display, Retina Display, Triple Rear 

Camera, Wi-Fi Capable, Wireless Charging	Processor:	Hexa Core
Operating System:	iOS	

SIM Card Slot:	Single SIM	Bundled Items:	USB Cable
RAM:	4GB",7,Mobile Phones
73,iPhone 11 Pro Max 256GB,"Brand:	Apple	

Model:	iPhone 11 Pro Max

state: Fairly Used

Storage Capacity:256GB	

Connectivity:	2G, 3G, 4G, 4G+, Bluetooth, Dual Band, GPS, Hotspot, NFC, WiFi	

Camera Resolution:	12MP

Screen Size:	6.5""

Features:	3G Data Capable, 4G Data Capable, 4K Video Recording, Accelerometer, Ambient Light Sensor, Bluetooth Enabled, Facial Recognition, Fast Charging, GPRS, MMS (Multimedia Messaging), Nano SIM, NFC Connectivity, OLED Display, Retina Display, Triple Rear 

Camera, Wi-Fi Capable, Wireless Charging	Processor:	Hexa Core
Operating System:	iOS	

SIM Card Slot:	Single SIM	Bundled Items:	USB Cable
RAM:	4GB",7,Mobile Phones
74,iPhone 11 Pro Max 512GB,"Brand: Apple 

Model: iPhone 11 Pro Max 

state: Fairly Used 

Storage Capacity:512GB 

Connectivity: 2G, 3G, 4G, 4G+, Bluetooth, Dual Band, GPS, Hotspot, NFC, WiFi Camera Resolution: 12MP Screen Size: 6.5"" Features: 3G Data Capable, 4G Data Capable, 4K Video Recording, Accelerometer, Ambient Light

 Sensor, Bluetooth Enabled, Facial Recognition, Fast Charging, GPRS, MMS (Multimedia Messaging), Nano SIM, NFC Connectivity, OLED Display, Retina Display, Triple Rear Camera, Wi-Fi Capable, Wireless Charging Processor: Hexa Core

 Operating System: iOS

 SIM Card Slot: Single SIM 

Bundled Items: USB

 Cable RAM: 4GB",7,Mobile Phones
75,iPhone 11 Pro 256GB,"Brand: Apple 

Model: iPhone 11 Pro 

state: Fairly Used 

Storage Capacity:256GB 

Connectivity: 2G, 3G, 4G, 4G+, Bluetooth, Dual Band, GPS, Hotspot, NFC, WiFi Camera Resolution: 12MP Screen Size: 6.5"" Features: 3G Data Capable, 4G Data Capable, 4K Video Recording, Accelerometer, Ambient Light

 Sensor, Bluetooth Enabled, Facial Recognition, Fast Charging, GPRS, MMS (Multimedia Messaging), Nano SIM, NFC Connectivity, OLED 

Display, Retina Display, Triple Rear Camera, Wi-Fi Capable, Wireless Charging Processor: Hexa Core

 Operating System: iOS

 SIM Card Slot: Single SIM 

Bundled Items: USB

 Cable RAM: 4GB",7,Mobile Phones
76,iPhone 11 Pro 512GB,"Brand: Apple 

Model: iPhone 11 Pro 

state: Fairly Used 

Storage Capacity:512GB 

Connectivity: 2G, 3G, 4G, 4G+, Bluetooth, Dual Band, GPS, Hotspot, NFC, WiFi Camera Resolution: 12MP Screen Size: 6.5"" Features: 3G Data Capable, 4G Data Capable, 4K Video Recording, Accelerometer, Ambient Light

 Sensor, Bluetooth Enabled, Facial Recognition, Fast Charging, GPRS, MMS (Multimedia Messaging), Nano SIM, NFC Connectivity, OLED 

Display, Retina Display, Triple Rear Camera, Wi-Fi Capable, Wireless Charging Processor: Hexa Core

 Operating System: iOS

 SIM Card Slot: Single SIM 

Bundled Items: USB

 Cable RAM: 4GB",7,Mobile Phones
77,iPhone 11 Pro 64GB,"Brand: Apple 

Model: iPhone 11 Pro 

state: Fairly Used 

Storage Capacity:64GB 

Connectivity: 2G, 3G, 4G, 4G+, Bluetooth, Dual Band, GPS, Hotspot, NFC, WiFi Camera Resolution: 12MP Screen Size: 6.5"" Features: 3G Data Capable, 4G Data Capable, 4K Video Recording, Accelerometer, Ambient Light

 Sensor, Bluetooth Enabled, Facial Recognition, Fast Charging, GPRS, MMS (Multimedia Messaging), Nano SIM, NFC Connectivity, OLED 

Display, Retina Display, Triple Rear Camera, Wi-Fi Capable, Wireless Charging Processor: Hexa Core

 Operating System: iOS

 SIM Card Slot: Single SIM 

Bundled Items: USB

 Cable RAM: 4GB",7,Mobile Phones
78,iPhone 12 64GB,"Brand:	Apple	

State: Brand New

Camera Resolution:	12MP

Storage Capacity:	64GB	Connectivity:	2G, 3G, 4G, 4G+, 5G, Bluetooth, Dual Band, GPS, Hotspot, NFC, WiFi

Model:	iPhone 12	Screen Size:	6.1""

Features:	3G Data Capable, 4G Data Capable, 4K Video Recording, Accelerometer, Ambient Light Sensor, Bluetooth Enabled, Camera, 

Fingerprint Sensor, GPS, Nano SIM, Rear Camera, Video Camera, Wi-Fi Capable	Processor:	Hexa Core

Operating System:	iOS	

Warranty:	12 Months

SIM Card Slot:	Single SIM	Bundled Items:	USB Cable

RAM:	4GB",7,Mobile Phones
79,iPhone 12 128GB,"Brand:	Apple	

State: Brand New

Camera Resolution:	12MP

Storage Capacity:	128GB	

Connectivity:	2G, 3G, 4G, 4G+, 5G, Bluetooth, Dual Band, GPS, Hotspot, NFC, WiFi

Model:	iPhone 12	

Screen Size:	6.1""

Features:	3G Data Capable, 4G Data Capable, 4K Video Recording, Accelerometer, Ambient Light Sensor, Bluetooth Enabled, Camera, 

Fingerprint Sensor, GPS, Nano SIM, Rear Camera, Video Camera, Wi-Fi Capable	Processor:	Hexa Core

Operating System:	iOS	

Warranty:	12 Months

SIM Card Slot:	Single SIM	Bundled Items:	USB Cable

RAM:	4GB",7,Mobile Phones
80,iPhone 12 Pro 64GB,"Brand:	Apple	

State: fairly used

Camera Resolution:	12MP

Storage Capacity:	64GB	

Connectivity:	2G, 3G, 4G, 4G+, 5G, Bluetooth, Dual Band, GPS, Hotspot, NFC, WiFi

Model:	iPhone 12	

Screen Size:	6.1""

Features:	3G Data Capable, 4G Data Capable, 4K Video Recording, Accelerometer, Ambient Light Sensor, Bluetooth Enabled, Camera, 

Fingerprint Sensor, GPS, Nano SIM, Rear Camera, Video Camera, Wi-Fi Capable	Processor:	Hexa Core

Operating System:	iOS	

Warranty:	12 Months

SIM Card Slot:	Single SIM	Bundled Items:	USB Cable

RAM:	4GB",7,Mobile Phones
81,iPhone 12 64GB,"Brand:	Apple	

State: Fairly Used

Camera Resolution:	12MP

Storage Capacity:	64GB	

Connectivity:	2G, 3G, 4G, 4G+, 5G, Bluetooth, Dual Band, GPS, Hotspot, NFC, WiFi

Model:	iPhone 12	

Screen Size:	6.1""

Features:	3G Data Capable, 4G Data Capable, 4K Video Recording, Accelerometer, Ambient Light Sensor, Bluetooth Enabled, Camera, 

Fingerprint Sensor, GPS, Nano SIM, Rear Camera, Video Camera, Wi-Fi Capable	Processor:	Hexa Core

Operating System:	iOS	

Warranty:	12 Months

SIM Card Slot:	Single SIM	

Bundled Items:	USB Cable

RAM:	4GB",7,Mobile Phones
82,iPhone 12 Pro 128GB,"Brand: Apple

Model:	Apple iPhone 12 Pro	

state: Brand New

Camera Resolution:	12.0 MP

RAM:	6 GB

Lock Status:	Factory Unlocked

Operating System:	iOS	

Network:	Unlocked

Style:	Bar	Chipset Model:	Apple A14 Bionic

SIM Card Slot:	Dual SIM (SIM + eSIM)

Connectivity:	4G, 5G, Bluetooth	

Brand:	Apple

Features:	4K Video Recording, 8K Video Recording, Accelerometer

Manufacturer Colour: silver/space grey/pacific blue

Mix	Processor:	Hexa Core

Model Number:	A2341, A2406, A2407, A2408	Screen Size:	6.1 in",7,Mobile Phones
83,iPhone 12 Pro 256GB,"Brand: Apple

Model:	Apple iPhone 12 Pro	

state: Brand New

Camera Resolution:	12.0 MP

storage: 256GB

RAM:	6 GB

Lock Status:	Factory Unlocked

Operating System:	iOS	

Network:	Unlocked

Style:	Bar	Chipset Model:	Apple A14 Bionic

SIM Card Slot:	Dual SIM (SIM + eSIM)

Connectivity:	4G, 5G, Bluetooth	

Features:	4K Video Recording, 8K Video Recording, Accelerometer

Manufacturer Colour: silver/space grey/pacific blue

Mix	Processor:	Hexa Core

Model Number:	A2341, A2406, A2407, A2408	Screen Size:	6.1 in",7,Mobile Phones
84,iPhone 12 Pro Max 128GB,"Brand: Apple

Model:	Apple iPhone 12 Pro Max

Condition: Open box: An item in excellent, new condition with no wear. The item may be missing the original packaging 
	
Operating System:	iOS

Features:	Proximity Sensor, E-compass, Gyro Sensor, Accelerometer, Ambient Light Sensor, Barometer, Fingerprint Sensor, eSIM, LiDAR Scanner	

Storage Capacity:	128 GB

Camera Resolution:	12.0 MP	

Screen Size:	6.7 in	

Connectivity:	5G, Bluetooth, Wi-Fi, Lightning, NFC

Manufacturer Colour:Pacific Blue/Gold/Silver/Space Grey

Processor:	Hexa Core",7,Mobile Phones
85,iPhone 12 Pro Max 256GB,"Brand: Apple

Model:	Apple iPhone 12 Pro Max

Condition: Open box: An item in excellent, new condition with no wear. The item may be missing the original packaging 
	
Operating System:	iOS

Features:	Proximity Sensor, E-compass, Gyro Sensor, Accelerometer, Ambient Light Sensor, Barometer, Fingerprint Sensor, eSIM, LiDAR Scanner	

Storage Capacity:	256GB

Camera Resolution:	12.0 MP	

Screen Size:	6.7 in	

Connectivity:	5G, Bluetooth, Wi-Fi, Lightning, NFC

Manufacturer Colour:Pacific Blue/Gold/Silver/Space Grey

Processor:	Hexa Core",7,Mobile Phones
86,iPhone 12 Pro Max 128GB,"Brand: Apple

Model:	Apple iPhone 12 Pro Max

Condition: Brand New
	
Operating System:	iOS

Features:	Proximity Sensor, E-compass, Gyro Sensor, Accelerometer, Ambient Light Sensor, Barometer, Fingerprint Sensor, eSIM, LiDAR Scanner	

Storage Capacity:	128 GB

Camera Resolution:	12.0 MP	

Screen Size:	6.7 in	

Connectivity:	5G, Bluetooth, Wi-Fi, Lightning, NFC

Manufacturer Colour:Pacific Blue/Gold/Silver/Space Grey

Processor:	Hexa Core",7,Mobile Phones
87,iPhone 12 Pro Max 512GB,"Brand: Apple

Model:	Apple iPhone 12 Pro Max

Condition: Open box: An item in excellent, new condition with no wear. The item may be missing the original packaging 
	
Operating System:	iOS

Features:	Proximity Sensor, E-compass, Gyro Sensor, Accelerometer, Ambient Light Sensor, Barometer, Fingerprint Sensor, eSIM, LiDAR Scanner	

Storage Capacity:	512 GB

Camera Resolution:	12.0 MP	

Screen Size:	6.7 in	

Connectivity:	5G, Bluetooth, Wi-Fi, Lightning, NFC

Manufacturer Colour:Pacific Blue/Gold/Silver/Space Grey

Processor:	Hexa Core",7,Mobile Phones
89,Samsung Galaxy S7,"Model:	Galaxy S7

Camera Resolution:	12.0MP	
 	
Colour:	Black	

Network:	Free Mobile, Unlocked

Operating System:	Android	

Touch Screen	

Storage Capacity:	32 GB

SIM Card Slot:	Single SIM

Cellular Band:	4G LTE	Brand:	Samsung

Connectivity:	2G, 3G, 4G, Bluetooth, GPS	Memory Card Type:	MicroSD

Features:	Email, Camera, Colour Screen, Fingerprint Sensor, Sim Free	Processor:	Octa Core
Model Number:	G930F	Screen Size:	5.1""

RAM:	4 GB",7,Mobile Phones
90,Samsung Galaxy S9,"Brand. :Samsung  
Model:	Samsung Galaxy S9

Condition:	Fairly Used

MPN:	SMG965FZKAXSA

Colour:	Black/Coral Blue	

SIM Card Slot:	Single SIM

Operating System:	Android

Camera Resolution:	12.0 MP	Storage Capacity:	64 GB
Screen Size:	6.2 in	

Connectivity:	USB Type-C, Bluetooth, Wi-Fi, NFC
Lock Status:	Network Unlocked",7,Mobile Phones
91,Samsung Galaxy S9+,"Brand: Samsung

Model:	Samsung Galaxy S9+

state: Fairly USed

Colour:	Black	SIM Card Slot:	Single SIM
	
Operating System:	Android

Camera Resolution:	12.0 MP	Storage Capacity:	64 GB
Screen Size:	6.2 in	
Connectivity:	USB Type-C, Bluetooth, Wi-Fi, NFC",7,Mobile Phones
92,ZAHRA,FAMILY HOUSE WITH 4 BEDROOMS,15,Home & Kitchen
97,Tour Jumelle,"Luxurious Bongalo, with kitchen section, bath room, and sofa.

has Ac and warm water at your disposal",83,property for rent
105,Tour Jumelle,"Tour Jumelle est un Etablissement d'hébergement et de Catering, situe à DOUALA, Kotto Mbangue, Toiture Rouge. Nous vous offrons un service de qualité pour un séjour de rêve.
Nos Service
- Hébergement
Nb:pas de caution ?
* Haut Standing
 ?15000 fcfa
* Premium.         
?12000 fcfa
* Classique.        
?10000 fcfa
* Restaurant à partir de 2000 FCFA pour un plat d’entrée et de résistance.
* Salle de Fête
* Service Traiteur
- CAR SERVICE 
* Location Voiture 
* Navette d’aéroport
- DECORATION
 * Deco Interieur 
 * Deco Exterieur
 * Deco Evenementielle  
Info Line: whatssap et appel
tour jumelle orange
Mobile +237 6 97 84 61 43
tour jumelle MTN",339,Rooms
109,ACER NITRO,"Acer Nitro 5 Gaming Laptop, 9th Gen Intel Core i5-9300H, NVIDIA GeForce GTX 1650, 15.6"" Full HD IPS Display, 8GB DDR4, 256GB NVMe SSD, Wi-Fi 6, Backlit Keyboard, Alexa Built-in, AN515-54-5812",8,Computers
114,Sinamay Fascinator,"Sinamay Fascinator.
Available in any colour",52,Hair care
115,Acer Nitro 5,"Brand : Acer

model: Acer Nitro AN515-54-599H

OS: Windows 10 Home

processor: Intel core i5-9300H

LCD: 15.6 FHD Acer Comfy View IPS LED LCD

Graphics: NVIDIA GeForce GtX 1650 with 4GB GDDR5 Dedicated VRam

Memory: 8GB Ram Memory

storage: 512GB SSD",8,Computers
116,Lenovo Think Book,"Brand : Lenovo

Model: Lenovo ThinkBook  15-IIl

OS: Windows 10 Home

processor: Intel core i7-1065G7 1.3ghx

LCD: 15.6 FHD IPS

Graphics: INTEGRATED GRAPHICS

Memory: 16GB Ram Memory

storage: 512GB SSD",8,Computers
117,HP 470 G7 Notebook,"Brand : HP

Model: HP Probook 470 G7 Notebook

OS: Windows 10 Home

processor: Intel core i5-10210U 470 G7BNPC

LCD: 15.6 FHD Acer Comfy View IPS LED LCD

Memory: 8GB Ram Memory DDR4 2665

storage: 500GB",8,Computers
118,HP OMEN 15-dc1057nr,"Product number
7TK52UA
Product name
OMEN by HP 15-dc1057nr
Microprocessor
9th Generation Intel® Core™ i7-9750H (2b) ; 6-Core
Chipset
Intel® HM370
Video graphics
NVIDIA® GeForce® GTX 1650 (4 GB GDDR5 dedicated) (13)
Hard drive
512 GB Intel® SSD + 32 GB Intel® Optane™ memory (55)(58b)
Display
15.6-inch diagonal FHD IPS anti-glare micro-edge WLED-backlit, 220 nits, 45% NTSC (1920 x 1080) (20) (39)
Network interface
Integrated 10/100/1000 GbE LAN
Expansion slots
1 multi-format SD media card reader
External ports
1 USB 3.1 Gen 2 Type-C™ with Thunderbolt™ 3 (40 Gb/s signaling rate, DisplayPort™ 1.4, HP Sleep and Charge); 3 USB 3.1 Gen 1 Type-A; 1 RJ-45; 1 headphone/microphone combo; 1 microphone; 1 AC smart pin; 1 Mini DisplayPort™
Minimum dimensions (W x D x H)
36 x 26.3 x 2.6 cm
Weight
2.32 kg
Audio features
Bang & Olufsen, dual speakers, HP Audio Boost, DTS Headphone:X™ support",8,Computers
